title,url,image,price,originalPrice,discountPercent,rating,reviewCount,soldCount,location,category,marketplace,affiliateUrl,notes
"JTKIDS SETELAN ANAK CLAYTON - CLAYTON ARMY, S",https://www.tokopedia.com/jtkids-only/jtkids-setelan-anak-clayton-1732464999670318106,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,24000,65000,63,,,,,Fashion,tokopedia,,
"JTKIDS SETELAN ANAK UNISEX PANTHER PENDEK SNI FULL PRINT - PANTHER, M",https://www.tokopedia.com/jtkids-only/jtkids-setelan-anak-unisex-panther-pendek-sni-full-print-1734483981371606042,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,26000,70000,63,4.8,2078,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"(Harga Satuan) Setelan Anak Unisex Bahan Vista Terry Baju Celana Fashion Cewek Cowok - Hitam (Abangnya), S (2-3th)",https://www.tokopedia.com/bocil-tshirt/harga-satuan-setelan-anak-unisex-bahan-vista-terry-baju-celana-fashion-cewek-cowok-1732817366127773620,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,33500,50000,33,4.8,1984,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"Setelan kaos anak Baju setelan anak kaos anak premium - Set hitam excavator, Xs. 1-2 thn",https://www.tokopedia.com/fn-fashion-nusantara/setelan-kaos-anak-baju-setelan-anak-kaos-anak-premium-1730870380700075144,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,30000,,,4.8,4394,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"setcel anak casual laki laki ala korean style usia 3-9 tahun setelan celana anak laki laki keren - ALMOND, 3 TAHUN",https://www.tokopedia.com/sarahstorebdg/setcel-anak-casual-laki-laki-ala-korean-style-usia-3-9-tahun-setelan-celana-anak-laki-laki-keren-1731649690893649417,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,40590,73800,45,4.8,652,,,Fashion,tokopedia,,
"SETELAN ANAK LAKI LAKI MOTIF POLOS KOMBINASI WARNA CELANA STRIPE 1-8 TAHUN Cotton Combed - KREM, S",https://www.tokopedia.com/nfh-kidstore/setelan-anak-laki-laki-perempuan-motif-polos-kombinasi-celana-stripe-1-8-tahun-1735020210351081034-1735020357979113034,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,38999,80000,51,4.9,1422,,Kab. Bandung,Fashion,tokopedia,,
"COD SETELAN ANAK KNIT UNISEX / ONESET ANAK KEKINIAN / STELAN ANAK LENGAN PENDEK / ONESET ANAK VIRAL L0TSO KNIT POLOS - LILAC, S",https://www.tokopedia.com/loly-kids/cod-setelan-anak-knit-unisex-oneset-anak-kekinian-stelan-anak-lengan-pendek-oneset-anak-viral-l0tso-1730843745696253746,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,30150,67000,55,4.8,230,,,Fashion,tokopedia,,
"SETELAN BAJU ANAK COWOK 1-8 TAHUN CP PRINTING ""MIGOO SERIES"" / SETELAN BAJU ANAK KELFI - MACIATO MIGOO, S",https://www.tokopedia.com/little-babies-831/setelan-baju-anak-cowok-1-8-tahun-cp-printing-migoo-series-setelan-baju-anak-kelfi-1730252975426536845,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,34999,69998,50,4.9,8740,,Kab. Sidoarjo,Fashion,tokopedia,,
"MILMODE - SETELAN ANAK LEO (6 BULAN - 6 TAHUN) - Coklat Mahogany, S",https://www.tokopedia.com/milmode/milmode-setelan-anak-leo-6-bulan-6-tahun-1734242853122705348,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,32500,70000,54,4.8,2254,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"Celana Skena Anak Stripe Bangkok Loose Pants Baggy Skena Umur 2-13th Fashion untuk Tampilan Stylish dan Nyaman Panjang - HITAM, M",https://www.tokopedia.com/javo-kids/celana-skena-anak-stripe-bangkok-loose-pants-baggy-skena-umur-2-13th-fashion-untuk-tampilan-stylish-dan-nyaman-panjang-1734529988362471374,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,37000,99990,63,4.8,1191,,Kab. Pekalongan,Fashion,tokopedia,,
"Setelan Anak Cowok Motif Polos Clothes Kids Fashion Usia 1-4Tahun - 012C-cream, 4-12BULAN",https://www.tokopedia.com/rainbowbabystore/setelan-anak-cowok-motif-polos-clothes-kids-fashion-usia-1-5tahun-1732186719731943202,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,38400,80000,52,4.8,605,,Kab. Bekasi,Fashion,tokopedia,,
"EVERKIDS Setelan Anak 1-6 thn Sablon keren - kaos anak -  COOKIE - COOKIE HITAM & KREM, 1-2 thn M",https://www.tokopedia.com/everhart-store/everkids-setelan-anak-1-6-thn-sablon-keren-kaos-anak-cookie-1729617111515039286,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,48800,90000,46,4.8,3929,,Kab. Bandung,Fashion,tokopedia,,
"PAKET CELANA PENDEK ANAK LAKI LAKI FASHION TERBARU DENGAN BAHAN BABY TERRY 8 WARNA shot - ABU MUDA, M 3-4 TAHUN",https://www.tokopedia.com/littlekidswear/paket-celana-pendek-anak-laki-laki-fashion-terbaru-dengan-bahan-baby-terry-8-warna-shot-1731379550122247962,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,26910,39000,31,4.8,4284,,,Fashion,tokopedia,,
"kokotosaka Baju Kaos Kerah Anak Laki-laki Umur 1-12tahun Bunda Cotton Katun - wangki salur beigie, S",https://www.tokopedia.com/kokotosakaid/kokotosaka-baju-kaos-kerah-anak-laki-laki-umur-1-12tahun-bunda-cotton-katun-1730428378598114795,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,49500,75000,34,,,,,Fashion,tokopedia,,
"Setelan Anak Perempuan Atasan dan Celana Panjang Berbahan Kringkell Kombinasi Katun Salur untuk Usia 2-12 Tahun Muslim - BIRU, size 2=1-2 thn",https://www.tokopedia.com/zayy-online/setelan-anak-perempuan-atasan-dan-celana-panjang-berbahan-kringkell-kombinasi-katun-salur-untuk-usia-2-12-tahun-muslim-1733233015504995534,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,36400,37500,3,4.9,220,,Kab. Bandung,Fashion,tokopedia,,
"JTKIDS SETELAN ANAK DAISYY - DAISYY PINK, M",https://www.tokopedia.com/jtkids-only/jtkids-setelan-anak-daisyy-1731124074803856410,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,22500,60000,63,4.8,654,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"BOSShijab anak/ jilbab instan anak bergo (kerut dagu karet) ZEEVA non ped daily kids usia 0-10th - Milo, ZEEVA 0-18bln(S)",https://www.tokopedia.com/bosshijab/bosshijab-anak-jilbab-instan-anak-bergo-zeeva-non-ped-daily-kids-usia-0-10th-nyaman-untuk-anak-sehari-hari-1734999406101497616-1734999628984715024,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,17475,34950,50,,,,,Fashion,tokopedia,,
